time,FLOW
2018-07-12,3e-4
2018-07-13,2e-4
2018-07-14,2e-4
2018-07-15,3e-4
2018-07-16,2e-4
2018-07-17,8e-4
2018-07-18,2e-4
2018-07-19,1e-4
2018-07-20,1e-4
2018-07-21,1e-4
2018-07-22,7e-4
2018-07-23,0.0027
2018-07-24,0.0041
2018-07-25,0.0063
2018-07-26,0.0022
2018-07-27,0.0012
2018-07-28,7e-4
2018-07-29,4e-4
2018-07-30,5e-4
2018-07-31,6e-4
2018-08-01,0.0015
2018-08-02,0.0091
2018-08-03,0.0061
2018-08-04,0.0031
2018-08-05,0.0012
2018-08-06,6e-4
2018-08-07,6e-4
2018-08-08,5e-4
2018-08-09,3e-4
2018-08-10,2e-4
2018-08-11,3e-4
2018-08-12,4e-4
2018-08-13,3e-4
2018-08-14,2e-4
2018-08-15,0
2018-08-16,0
2018-08-17,0.0053
2018-08-18,0.0107
2018-08-19,0.0162
2018-08-20,0.0298
2018-08-21,0.0215
2018-08-22,0.0242
2018-08-23,0.0254
2018-08-24,0.0206
2018-08-25,0.0161
2018-08-26,0.0234
2018-08-27,0.0187
2018-08-28,0.0296
2018-08-29,0.0217
2018-08-30,0.0433
2018-08-31,0.0269
